name,embedding,similarities
1013.clip.wav,"[[-0.34826663  0.00995095  0.93254703 ... -0.65193903  0.23073605
  -0.1356372 ]
 [-0.88389015  0.06018656  0.41943073 ... -0.75137126 -0.07047431
  -0.22620738]
 [-0.617223    0.01412535  0.44440043 ... -0.79354763 -0.00775598
  -0.20990396]
 ...
 [-0.7457875   0.12190415  0.22284207 ... -0.57828414 -0.1499735
  -0.02052918]
 [-0.9459512  -0.01765284  0.5779467  ... -1.1881857  -0.19260393
  -0.46047592]
 [-0.48716173  0.10733354  0.20643955 ... -0.5602772   0.16519135
  -0.02113238]]",0.4844206
103.clip.wav,"[[-0.39067718  0.19451421  0.48868054 ... -0.3942224  -0.04281245
   0.06498991]
 [-0.34166333 -0.12197682  0.9571301  ... -0.43431595  0.03172664
  -0.13980892]
 [-0.5441513  -0.28245458  1.1871477  ... -0.5687721   0.09022464
  -0.25277245]
 ...
 [-0.28471217  0.05736645  0.79257894 ... -0.31135544  0.03574887
   0.21448053]
 [-0.28489724  0.19511601  0.41491398 ... -0.3379083   0.17519346
  -0.02882096]
 [-0.5454891  -0.17639863  0.18966475 ... -0.55921876 -0.14238158
   0.24728256]]",0.45798814
102.clip.wav,"[[-0.6218617   0.10762082  0.2820363  ... -0.63608384 -0.09589784
  -0.31485426]
 [-0.62400496  0.06712066  0.15477048 ... -0.66523004 -0.1362986
  -0.25331187]
 [-0.8124068   0.05250725  0.14568867 ... -1.0109136  -0.08621533
  -0.14800522]
 ...
 [-0.85732985 -0.02236238  0.06097093 ... -1.0235906  -0.25171322
  -0.19520408]
 [-0.6260407   0.10753983  0.11238834 ... -0.85200727 -0.14582507
  -0.10678515]
 [-0.70110226  0.44009587  0.2546412  ... -0.7563896   0.09242253
  -0.14606172]]",0.48881572
109.clip.wav,"[[-0.16941512 -0.00322889  0.55247706 ... -0.22024694  0.2036072
  -0.31040484]
 [ 0.19824052 -0.33154932  0.98328555 ...  0.07860261  0.24095868
  -0.3977384 ]
 [-0.2505152  -0.3648289   1.0081902  ... -0.32643643  0.1831244
  -0.50337887]
 ...
 [-0.29430655  0.48765606  0.02907845 ...  0.1809521   0.41231108
  -0.02505925]
 [-0.19294748  0.21883497  0.38070697 ...  0.31059545  0.1880393
  -0.05450132]
 [-0.14831188  0.17120323  0.5565454  ... -0.02897254  0.2552024
  -0.09447896]]",0.46241337
1051.clip.wav,"[[-0.429471    0.26440668  0.8319254  ... -0.5841794   0.21631905
   0.04997984]
 [-0.9166113   0.24901158  0.47846255 ... -0.8106766   0.22418892
   0.1239334 ]
 [-0.66689146  0.19646536  0.26469177 ... -0.66247237  0.03763809
   0.29054606]
 ...
 [-0.45550224  0.10014662  0.36290017 ... -0.59162295  0.18726885
  -0.27204394]
 [-0.35674933  0.183787    0.07584673 ... -0.3615583   0.13154061
   0.06013903]
 [-0.5947621   0.27852595  0.5287092  ... -0.60483515  0.14277303
   0.04172114]]",0.5908426
01-D_AMairena.wav,"[[-0.9835495  -0.01921415 -0.18525195 ... -0.8278806   0.94222844
  -0.06819344]
 [-0.44199094  0.0799709   0.00789142 ... -0.43286684  0.6751207
  -0.14856309]
 [-0.61562634  0.2065871   0.11471629 ... -0.39447138  0.38638514
   0.01221323]
 ...
 [-1.4091451  -0.13565227 -0.42562902 ... -1.027397    1.0885727
  -0.35000503]
 [-0.7979542   0.02530223  0.30764517 ... -0.6326122   0.6802493
  -0.31163895]
 [-0.93934965  0.1224526  -0.11169946 ... -0.78130245  0.78125757
  -0.13648123]]",1.0
24-M1_AMairena-Martinete.wav,"[[-0.21347854  0.20176464 -0.19898897 ...  0.04487371  0.7899944
  -0.26740146]
 [-1.914892    0.06394136 -0.14450511 ... -1.215472    0.99537593
  -0.56821674]
 [-1.5378587   0.11945568 -0.04975951 ... -1.1006866   0.376382
  -0.2889102 ]
 ...
 [-1.3898271  -0.02597886 -0.01182836 ... -0.99344957  1.1129811
  -0.21086675]
 [-1.6368749  -0.06210318 -0.7619623  ... -1.0719148   1.621001
  -0.28252244]
 [-0.9446666   0.06525458 -0.12747258 ... -0.50497746  0.8778077
  -0.25022435]]",0.7931222
TSwiftHitsDifferent.wav,"[[-0.21682677 -0.11655778  0.09530723 ... -0.34612563 -0.05128375
   0.049714  ]
 [ 0.01608956  0.07421046  0.15431097 ... -0.2057747  -0.02677898
  -0.03748637]
 [-0.346193   -0.02837202  0.04237369 ... -0.4630241  -0.031718
  -0.04528627]
 ...
 [-0.01209655 -0.09204844  0.3790931  ... -0.07026812  0.5551713
   0.30446136]
 [-0.18276015  0.09792851  0.08545299 ... -0.17096579 -0.10217659
   0.04445036]
 [-0.2339913   0.13392517  0.10356523 ... -0.34085974 -0.08937727
   0.0436895 ]]",0.4606686
exmachinaquotevocalslouder.wav,"[[ 0.35746336 -0.29181448  0.4842979  ... -0.03330076  0.31200042
   0.03231388]
 [-0.19991866 -0.26637682  0.44824454 ... -0.24751309  0.46568823
  -0.17559254]
 [ 0.14235918 -0.47512326  0.5985209  ... -0.36465505  0.25929993
  -0.3006562 ]
 ...
 [-0.3028898  -0.32957855  0.36260536 ... -0.67287195  0.33169055
  -0.13881582]
 [-0.7796898  -0.35566643  0.23172161 ... -0.79297066  0.16888581
   0.0863674 ]
 [-0.6244465  -0.46408525  0.6237519  ... -0.62780976 -0.21206914
  -0.3437022 ]]",0.4404407
1014.clip.wav,"[[-0.3195527  -0.00560379  0.0677571  ... -0.64235485  0.04784329
   0.02497269]
 [-0.5042834   0.00146139  0.15400007 ... -0.72987187  0.15051694
  -0.12520418]
 [-0.92651093  0.02061103 -0.00366181 ... -0.8304064   0.23394765
  -0.03850481]
 ...
 [-0.92842233  0.060598    0.06192373 ... -1.0236453   0.10136851
  -0.1758987 ]
 [-0.3569301  -0.06011531  0.13511722 ... -0.6243844   0.25393903
  -0.08644366]
 [-0.35513166 -0.01479068  0.17054433 ... -0.5356827   0.15317288
   0.02885456]]",0.5323843
