,formatted_data,seven_digit,duration,end_of_fade_in,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tempo,time_signature,time_signature_confidence,track_id
0,Raphaël - Je Sais Que La Terre Est Plate,3073568,148.74077,0.192,0,0.591,-9.636,1,0.556,141.607,124.059,4,0.372,b'TRARRZU128F4253CA2'
1,Julie Zenatti - On Efface,4249244,252.99546,0.514,1,0.429,-11.061,0,0.67,241.424,80.084,4,0.533,b'TRARRJL128F92DED0E'
2,The Baltimore Consort - Howells Delight,5436063,78.0273,0.974,3,0.0,-24.14,1,0.0,78.027,54.874,4,0.0,b'TRARRUZ128F9307C57'
3,I Hate Sally - Martha Served,1199928,163.63057,0.0,7,0.38,-5.795,1,0.385,158.511,77.15,3,0.369,b'TRARRWA128F42A0195'
4,Orlando Pops Orchestra - Zip-A-Dee-Doo-Dah (Song of the South),8493899,199.99302,0.0,10,0.551,-16.477,1,0.528,195.808,120.382,4,1.0,b'TRARRPG12903CD1DE9'
5,Brand X - Liquid Time (composition by John Goodsall),5570526,279.35302,0.433,9,0.519,-12.474,1,0.491,261.288,99.024,4,1.0,b'TRARRER128F9328521'
6,Amorphis - Misery Path (From the Privilege of Evil),2999402,255.03302,0.449,9,0.447,-4.393,1,0.247,251.275,175.673,4,0.0,b'TRARRYC128F428CCDA'
7,Inoki - Nuovi Re pt. I I (feat. Tek money - Lady Tambler),1283021,259.3171,0.223,1,0.194,-5.05,1,0.436,249.255,87.999,4,0.954,b'TRARROY128F42281F7'
8,Dead Kennedys - Halloween,1959132,216.842,0.0,10,0.325,-4.264,1,0.286,213.02,92.897,4,0.879,b'TRARREF128F422FD96'
9,Brigada Victor Jara - Parto em terras distantes,3779273,312.99873,0.0,4,0.669,-13.885,0,0.638,296.316,86.981,5,0.688,b'TRARRVB128F92F47CA'
10,Atreyu - You Eclipsed By Me (Album Version),3260887,218.90567,0.0,0,0.588,-4.707,0,0.584,209.2,157.715,4,0.691,b'TRARRQO128F427B5F5'
11,Mistress - Shovel,7574139,580.70159,5.294,0,0.821,-4.523,1,0.587,580.702,146.331,4,0.479,b'TRARRMK12903CDF793'
12,Shadows Fall - What Drives The Weak,8138989,283.48036,0.113,0,0.489,-4.076,0,0.596,280.88,84.992,4,0.42,b'TRARUOP12903CF2384'
13,Vanessa Daou - Life Force,4551998,229.66812,0.276,2,0.162,-19.293,1,0.483,224.949,79.96,3,0.269,b'TRARURM128F931A91B'
14,Dave Brockie Experience - The Dance Of Europe,6198667,135.8624,0.311,1,0.387,-3.312,0,0.418,132.888,99.959,5,0.902,b'TRARUDQ128F934B0ED'
15,Spoonie Gee - Spoonie Is Back,5879315,393.63873,0.179,1,0.421,-6.619,1,0.155,379.478,135.503,5,0.677,b'TRARUHU128F92FDC00'
16,R. Carlos Nakai - Blood Round Dance Song (World),5846819,146.33751,0.347,1,0.027,-25.651,0,0.415,137.143,104.989,1,0.0,b'TRARUFE128F92F5D21'
17,Linkin Park - Crawling (Album Version),193083,208.95302,3.245,4,0.247,-6.052,1,0.464,200.969,105.095,4,0.873,b'TRARUTP128E0797FC7'
18,Koffi Olomidé - Bennie,3950907,625.78893,0.343,0,0.66,-7.164,1,0.585,613.837,89.572,5,0.7,b'TRARUYJ128F9316C65'
19,Alain-François - Playa del sous-sol,7608431,172.01587,0.079,4,0.517,-5.704,1,0.491,163.358,107.986,4,0.273,b'TRARITF12903CE7DA9'
20,Billy May & His Orchestra - Fascinating Rhythm (Instrumental) (2007 Digital Remaster),2575085,312.92036,0.223,8,0.054,-10.703,1,0.377,296.496,103.532,1,0.401,b'TRARIGL128F422B9CE'
21,Phil Collins - I'm Not Moving,435053,154.93179,0.107,5,0.682,-15.433,0,0.672,136.615,100.042,4,0.753,b'TRARIRG128F147FC96'
22,Philippe Sarde - Grand Frère,5516194,528.22159,2.688,0,0.516,-23.178,0,0.536,522.606,137.658,4,0.056,b'TRARIMG128F931B45A'
23,Sister Rosetta Tharpe & Marie - Up Above My Head,4918629,146.80771,0.281,9,0.425,-7.386,0,0.41,144.08,80.893,4,0.0,b'TRARIPU128F92FA1E1'
24,Oasis - Columbia,167811,324.80608,0.096,2,0.046,-7.588,1,0.392,314.921,100.146,4,1.0,b'TRARIWH128E079349F'
25,Kiss - Radar For Love,359919,241.08363,0.078,9,0.87,-8.021,1,0.637,225.216,99.761,1,0.0,b'TRARIIY128F147187D'
26,John Cale - Antarctica Starts Here,4408094,199.96689,0.45,5,0.785,-20.172,1,0.609,183.664,110.1,4,1.0,b'TRARIZK128F92FF27A'
27,UFO - Out In The Street (Live) (2008 Digital Remaster),2944491,314.17424,0.0,2,0.977,-6.763,1,0.761,314.174,131.5,4,0.071,b'TRARINE128F4280B9C'
28,Back Door Slam - Heavy On My Mind (Album Version),6141531,319.84281,0.0,3,0.515,-4.325,0,0.573,312.041,92.971,4,0.285,b'TRARIMP128F933D217'
29,Cool cavemen - Everyone make love,5176104,234.762,0.062,10,0.784,-5.976,0,0.698,231.422,93.715,5,0.826,b'TRARIKA128F9335A8C'
30,Dave Hollister - Calm Da Seas,3459612,258.16771,0.0,11,0.242,-5.193,1,0.438,249.406,117.936,4,1.0,b'TRARNCP128F42AB2B0'
31,Nestor Torres - Ran Kan Kan,6621040,191.63383,0.661,7,0.383,-5.648,1,0.416,186.41,78.843,7,0.758,b'TRARNJN12903CE49F8'
32,The Impressions - I Found You,814145,207.35955,3.477,1,0.607,-16.489,1,0.701,198.565,121.896,4,0.507,b'TRARNAS128EF355915'
33,Casa Bulga - Afraid Of Change (Tribal Vocal Mix),6313980,401.24036,0.322,10,0.596,-7.327,0,0.604,398.803,0.0,3,1.0,b'TRARNIL12903C9A9C8'
34,Debbie Davies - Grow Up_ Grow Old,6631451,283.79383,0.0,0,0.73,-7.961,1,0.66,260.725,107.183,1,0.0,b'TRARNKQ12903CE7299'
35,Willie Clayton - Walk Away From Love,4158052,260.51873,0.189,10,0.675,-10.646,1,0.563,250.729,105.863,4,1.0,b'TRARNAJ128F92CD7F9'
