id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
0HAqq2GcQKyi3s87GuN7jU,Amoeba,Sling,32ium7Cxb1Xwp2MLzH2459,Clairo,3l0CmX0FuQjFxr8SK7Vqag,2,1,False,0.739,0.491,6,-11.515,1,0.027,0.791,0.0366,0.1,0.707,111.008,228922,4,2021,2021-07-16
4P9Q0GojKVXpRTJCaL3kyy,All Of The Girls You Loved Before,All Of The Girls You Loved Before,1Uauz6ql2dIPvIOH4JiuhD,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1,1,False,0.718,0.467,2,-9.66,1,0.0398,0.707,6.92e-05,0.126,0.396,95.96,221407,3,2019,2019-08-23
7CK2ioYuFmjRKHRhsop0Ww,Sunflower,L'été,2jwH5smWfEllXmVwPQT8rY,Snail's House,29O9ZebFa65aIEvMaW5pQY,4,1,False,0.497,0.447,1,-10.619,1,0.0325,0.456,0.00438,0.0947,0.22,139.97,244397,3,2018,2018-07-07
7B3z0ySL9Rr0XvZEAjWZzM,Sofia,Immunity,4kkVGtCqE2NiAKosri9Rnd,Clairo,3l0CmX0FuQjFxr8SK7Vqag,7,1,False,0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997,188387,4,2019,2019-08-02
2ckGH6FtxWeAv0SskcREd1,Manta,无限意识 Meta Ego,1ON6zUsWnFa7nlo5YbDkoD,Lexie Liu,6fs2or0cKLEM2xohWq8SoX,1,1,False,0.709,0.695,11,-4.289,0,0.0371,0.157,0.0,0.117,0.423,95.973,202061,4,2019,2019-12-27
31RYcUDhkqkH1W2xxnzBjY,Forbes,Forbes,49vSoDFKeJoXe1Nxy20k0s,"G-Eazy, Borgore","02kJSzxNuaWGqwubyUba0Z, 7u160I5qtBYZTQMLEIJmyz",1,1,False,0.747,0.782,8,-4.326,1,0.283,0.0223,0.0,0.0902,0.501,113.99,206316,4,2015,2015-09-04
2HJQcyUpmUuvzS5vBAICIc,Working For It,GENERATIONWHY,6Xhb46t8f3z8FkuXQAj4UV,"ZHU, Skrillex, THEY.","28j8lBWDdDSHSSt5oPlsX2, 5he5w2lnU9x7JFhnwcekXX, 0pghUohLPptZWBasy2wmUx",14,1,True,0.776,0.715,5,-6.587,0,0.0505,0.0971,0.0131,0.247,0.502,99.951,231813,4,2016,2016-07-29
1kdWw77ZpYOkhxeuhzU1j6,it’s time to go - bonus track,evermore (deluxe version),6AORtDjduMM3bupSWzbTSG,Taylor Swift,06HL4z0CvFAxyc27GXpf02,17,1,False,0.592,0.41,0,-12.426,1,0.0397,0.801,1.39e-05,0.09,0.416,151.923,254640,4,2021,2021-01-07
5RdkyZw1KQ1v0EbquUAsx2,Dead Horse,Petals For Armor,4HXpQ5KQBVWN25ltjnX7xa,Hayley Williams,6Rx1JKzBrSzoKQtmbVmBnM,1,2,False,0.737,0.787,7,-4.587,1,0.0525,0.121,2.14e-06,0.114,0.59,90.014,199413,4,2020,2020-05-08
6SRsiMl7w1USE4mFqrOhHC,brutal,SOUR,6s84u2TUpR3wdUv4NgKA2j,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,1,1,True,0.672,0.526,4,-6.446,1,0.0599,0.0311,1.37e-06,0.28,0.28,123.999,143747,4,2021,2021-05-21
6SpLc7EXZIPpy0sVko0aoU,Misery Business,Riot!,71rziY9eLo1tA2dBMxrwhc,Paramore,74XFHRwlV6OrjEM0A2NCMF,4,1,False,0.517,0.906,1,-3.677,1,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,211520,4,2007,2007-06-11
1yjY7rpaAQvKwpdUliHx0d,Still into You,Paramore,4sgYpkIASM1jVlNC8Wp9oF,Paramore,74XFHRwlV6OrjEM0A2NCMF,9,1,False,0.602,0.923,5,-3.763,1,0.044,0.0098,0.0,0.0561,0.765,136.01,216013,4,2013,2013-04-05
6ee7CHWggDCiHtZdgzqnJG,I Don't Miss You at All,Blood Harmony (Deluxe),1O1Ulu4uuaceAzsNfN7ks0,FINNEAS,37M5pPGs6V1fchFJSgCguX,4,1,False,0.839,0.316,1,-7.57,0,0.224,0.609,0.0004,0.103,0.531,148.094,128916,4,2020,2020-08-07
6cq5CiTm239TeNEE6YjqfE,Butterflies,Butterflies,1j2uX2CKl8szGRxKqsXOfm,"Skrillex, Starrah, Four Tet","5he5w2lnU9x7JFhnwcekXX, 6DpWtzfwV8fcwP6fXckDVu, 7Eu1txygG6nJttLHbZdQOh",1,1,False,0.733,0.872,2,-5.683,0,0.132,0.0239,0.00304,0.38,0.195,128.007,195707,4,2021,2021-05-10
7JdiXX87BugXUDhQ89GEc8,Deep End - SIDEPIECE Remix,Deep End (SIDEPIECE Remix),3G4HzFDfCJUBJ4u7G3IdVc,"John Summit, SIDEPIECE","7kNqXtgeIwFtelmRjWv205, 5czbzNZZfWpyFgZyfT3Mkk",1,1,False,0.763,0.665,11,-9.063,0,0.0807,0.122,0.0112,0.476,0.422,126.025,196667,4,2020,2020-10-16
34bCTR4c5DLBFwNx1l06DC,Sacrifices,Sacrifices,0CluBi6TlKyYVnqSEYFcWn,"The Natural Synthetic, Miette Hope, Ariza","6tXQnD9aL1g2ugKMGlNcG5, 4K61UysqQc1VRj8VsY76Qw, 4hfAjEKTAFTmJvGQCGTED5",1,1,False,0.873,0.476,6,-7.467,0,0.182,0.479,0.0764,0.109,0.686,100.009,183788,4,2020,2020-08-27
2gVhfX2Gy1T9kDuS9azrF7,willow,evermore (deluxe version),6AORtDjduMM3bupSWzbTSG,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1,1,False,0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112,214707,4,2021,2021-01-07
5SZo3Grs3fmbPsHZzlLB6E,Belong in the Sun,¿Téo?,5NhRAV4V8xcH0Wzj047C1g,"¿Téo?, Lido","0jsnWH4QCKcAMpR7vEhh9u, 1aSwrSGBNGMLn9ymttfRkk",8,1,False,0.781,0.7,5,-9.454,0,0.0681,0.357,0.0792,0.12,0.661,96.979,194000,4,2018,2018-09-13
