id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
34bCTR4c5DLBFwNx1l06DC,Sacrifices,Sacrifices,0CluBi6TlKyYVnqSEYFcWn,"The Natural Synthetic, Miette Hope, Ariza","6tXQnD9aL1g2ugKMGlNcG5, 4K61UysqQc1VRj8VsY76Qw, 4hfAjEKTAFTmJvGQCGTED5",1,1,False,0.873,0.476,6,-7.467,0,0.182,0.479,0.0764,0.109,0.686,100.009,183788,4,2020,2020-08-27
05oWEBOfaX4WWRzyl3hTzY,Phantom,Hold The Girl,0JO5WJ19NtFRtVYOnw24xS,Rina Sawayama,2KEqzdPS7M5YwGmiuPTdr5,12,1,False,0.19,0.77,7,-3.312,1,0.0411,0.0493,0.0,0.0936,0.21,169.81,265013,3,2022,2022-09-16
4P9Q0GojKVXpRTJCaL3kyy,All Of The Girls You Loved Before,All Of The Girls You Loved Before,1Uauz6ql2dIPvIOH4JiuhD,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1,1,False,0.718,0.467,2,-9.66,1,0.0398,0.707,6.92e-05,0.126,0.396,95.96,221407,3,2019,2019-08-23
6lYY2HktYKpV1pUamfRlU1,Messages from the Stars,Going Up,0TGYRrYo4CbhYX6ktuv75f,The Rah Band,7MDoXA8Kfykq3gkBkDBLtH,1,1,False,0.649,0.821,7,-2.957,1,0.0329,0.0562,0.00271,0.318,0.698,113.489,254080,4,1983,1983
5DT396Bk4kxXH0Y8ADyyE3,Cynical,Cynical,357gbL6nwsDoNxTvZ5YWrm,Emei,7E2aQQjErJocovYFjYLzWU,1,1,False,0.41,0.515,5,-6.899,0,0.363,0.179,0.0,0.315,0.44,179.205,134583,3,2023,2023-07-14
6YufjjSqUweXdQHduL76zr,Green Honda,Green Honda,46O3bl9CMEXxzQubtLz4Zq,BENEE,0Cp8WN4V8Tu4QJQwCN5Md4,1,1,True,0.746,0.705,6,-5.615,0,0.0518,0.0133,0.0,0.22,0.97,136.916,166982,4,2023,2023-02-08
5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version),64LU4c1nfjz1t4VnGhagcg,Taylor Swift,06HL4z0CvFAxyc27GXpf02,19,1,False,0.793,0.512,0,-9.319,1,0.0338,0.186,3.81e-05,0.0889,0.0662,109.994,146437,4,2023,2023-10-26
2A6wArvnvzSSSrAtTgQL4x,Cognitive Dissonance,Cognitive Dissonance,6Q4UsB2HFwzLLwjP5jYYOb,Sophie Holohan,4kpaI92KQcPABQj9qxIopw,1,1,False,0.647,0.591,1,-7.09,0,0.0304,0.0456,0.0108,0.143,0.512,127.999,176001,4,2022,2022-07-15
3k79jB4aGmMDUQzEwa46Rz,vampire,vampire,5kqfR7EuGbyp8x27Pr1kY9,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,1,1,True,0.511,0.532,5,-5.745,1,0.056,0.169,0.0,0.311,0.322,137.827,219724,4,2023,2023-06-30
1EQBG30FLLMDAlirZdvTQK,I Just Wanna,I Just Wanna,0vXj38rY5RrlNjjVBtKWsJ,Big Wild,0PxzGnCYBpSuaI49OR94cA,1,1,False,0.601,0.851,4,-6.882,1,0.0421,0.00213,0.492,0.369,0.634,148.019,183243,4,2017,2017-01-13
