id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
2qNfFigDByhwH0moF1yBlf,To Be Alive,Hold The Girl,0JO5WJ19NtFRtVYOnw24xS,Rina Sawayama,2KEqzdPS7M5YwGmiuPTdr5,13,1,False,0.509,0.871,7,-4.686,1,0.109,0.0483,0.0,0.151,0.222,132.032,234777,4,2022,2022-09-16
7znjbX9XdoQayIrVNdd50Z,The Girl From Ipanema,Getz/Gilberto (Expanded Edition),2W6Hvrtg2Zpc9dW4aBDbdP,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,1,1,False,0.653,0.149,10,-17.866,0,0.0392,0.867,0.000983,0.0986,0.481,130.359,320253,4,1964,1964
7dMHikM2EFipQdSyDZbnsE,...Ready For It?,...Ready For It?,4DXlmR7JJ4epvcYOqL6jet,"MUZZ, Skyelle","4UNnRb4LN2hGtbtMfPzMhg, 5mMt0V809N7Y5mOUYsmOW6",1,1,False,0.499,0.978,11,0.128,0,0.0976,0.00285,0.0,0.322,0.323,175.034,230400,4,2023,2023-05-24
05oWEBOfaX4WWRzyl3hTzY,Phantom,Hold The Girl,0JO5WJ19NtFRtVYOnw24xS,Rina Sawayama,2KEqzdPS7M5YwGmiuPTdr5,12,1,False,0.19,0.77,7,-3.312,1,0.0411,0.0493,0.0,0.0936,0.21,169.81,265013,3,2022,2022-09-16
3SHLX5ePGvPKcWKM05Thga,I Wonder,Silence Between Songs,0Q0rJ81u7O4EFCpqkcwJJ2,Madison Beer,2kRfqPViCqYdSGhYSM9R0Q,7,1,False,0.675,0.482,2,-8.607,1,0.0298,0.733,0.0,0.156,0.646,125.971,157987,4,2023,2023-09-15
5XFktAerFHxM4tp7EhzTrh,Lost,Lost,1QaaHgza1m23gXfowZ8ZHS,"RSCL, it's murph, Twin Diplomacy, Jack August","5pkU7zjIzHgfN1n91e51r3, 3zW0xazqnHoq9QV9zBROVC, 5rweLVovWSRNfeuVvzPcCq, 2qAHim7arWxVIhri5JpBry",1,1,False,0.672,0.868,11,-6.525,0,0.0412,0.00185,0.492,0.244,0.491,126.03,153183,4,2022,2022-11-04
0W2CHYtNLuEBJCCuqOona7,A Devil's Touch in the Midwest,An Old Smile,6CqtWGd1BcpvH4bDTIMvua,Macabre Plaza,7r8EHfxHZHU16sUV3BEH1t,4,1,False,0.482,0.645,11,-15.798,1,0.0376,0.754,0.847,0.102,0.875,159.287,68007,4,2021,2021-02-16
1JjzyWwzTrrPClPJewJPGf,Let Me Fly,Let Me Fly,0z7BDhZ6gttoFzkScUjfr8,Aaron Taylor,1evO4fwLsEkkPGq32dCix7,1,1,False,0.879,0.536,9,-7.813,0,0.161,0.121,0.0,0.247,0.608,101.953,162180,4,2019,2019-10-18
5aCmvEtoqJvkuoHMaExANL,MÁQUINA CULONA,SUPERNOVA,7KdsjQmMyF9B25UqADi117,"Ralphie Choo, Mura Masa","5qjnPRE33rMgYAxIjGUrI7, 5Q81rlcTFh3k6DQJXPdsot",9,1,True,0.802,0.543,5,-5.994,0,0.353,0.218,2.66e-05,0.127,0.859,100.241,192000,4,2023,2023-09-15
7ukwLZdHWlFZ8mrIYw8xbX,Casin,Points of Interest,3KZJbgHtWuNf8ZfsdRoAeY,glue70,3AsWxxZTFPoCFxM1s8Lg1J,4,1,False,0.964,0.658,0,-6.896,1,0.22,0.0734,0.0348,0.0706,0.731,104.024,106154,4,2016,2016-09-03
4cCfprh4NrvyLGKN2rOCO7,Inhale Exhale,Quest For Fire,7tWP3OG5dWphctKg4NMACt,"Skrillex, Aluna, Kito","5he5w2lnU9x7JFhnwcekXX, 5ITI6SEoUZMIXXkzCfr4oE, 3FLUBwpAnaIlIKeaBfsxFe",6,1,False,0.706,0.55,5,-12.764,0,0.0407,0.0477,0.0161,0.109,0.637,145.001,205241,4,2023,2023-02-17
5SZo3Grs3fmbPsHZzlLB6E,Belong in the Sun,¿Téo?,5NhRAV4V8xcH0Wzj047C1g,"¿Téo?, Lido","0jsnWH4QCKcAMpR7vEhh9u, 1aSwrSGBNGMLn9ymttfRkk",8,1,False,0.781,0.7,5,-9.454,0,0.0681,0.357,0.0792,0.12,0.661,96.979,194000,4,2018,2018-09-13
6lAMnXLVCBPMXXWAK4lGSL,Ylang Ylang,Ylang Ylang EP,0A13mnL2iaAoke3GXWsvB1,"FKJ, ((( O )))","2FwDTncULUnmANIh7qKa5z, 5rBFU1rhgs1nNghopuj9k8",3,1,False,0.559,0.243,1,-12.453,1,0.0326,0.925,0.935,0.108,0.162,69.941,213000,4,2019,2019-11-12
30yIgU75kRcfGTTau7J4kf,Edgerunners,Edgerunners,4zkKIJyudvuwiZ1mjMZvJU,Exploid,5EoS1JzWR4LfTMWq8etwta,1,1,False,0.385,0.97,7,-1.85,1,0.0462,7.79e-05,0.334,0.186,0.115,174.014,188276,4,2023,2023-01-11
34bCTR4c5DLBFwNx1l06DC,Sacrifices,Sacrifices,0CluBi6TlKyYVnqSEYFcWn,"The Natural Synthetic, Miette Hope, Ariza","6tXQnD9aL1g2ugKMGlNcG5, 4K61UysqQc1VRj8VsY76Qw, 4hfAjEKTAFTmJvGQCGTED5",1,1,False,0.873,0.476,6,-7.467,0,0.182,0.479,0.0764,0.109,0.686,100.009,183788,4,2020,2020-08-27
0JmnkIqdlnUzPaf8sqBRs3,Moonlight,Red Moon In Venus,5OZ44LaqZbpP3m9B3oT8br,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,14,1,False,0.642,0.706,7,-6.872,0,0.052,0.518,0.0,0.25,0.896,136.851,187723,4,2023,2023-03-03
15DeqWWQB4dcEWzJg15VrN,Our Song,Taylor Swift,7mzrIsaAjnXihW3InKjlC3,Taylor Swift,06HL4z0CvFAxyc27GXpf02,11,1,False,0.668,0.672,2,-4.931,1,0.0303,0.111,0.0,0.329,0.539,89.011,201107,4,2006,2006-10-24
1H7gMYGykdtwZOV6s1N0by,Norwegian Wood (This Bird Has Flown) - Remastered 2009,Rubber Soul (Remastered),50o7kf2wLwVmOTVYJOTplm,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,2,1,False,0.425,0.369,4,-11.876,1,0.0379,0.183,0.00126,0.112,0.65,176.625,124693,3,1965,1965-12-03
4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Happier Than Ever,0JGOiO34nwfUdDrD612dOp,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,15,1,True,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,298899,3,2021,2021-07-30
6K0CJLVXqbGMeJSmJ4ENKK,Tied Together with a Smile,Taylor Swift,7mzrIsaAjnXihW3InKjlC3,Taylor Swift,06HL4z0CvFAxyc27GXpf02,7,1,False,0.479,0.578,2,-4.963,1,0.0294,0.525,0.0,0.0841,0.192,146.165,248107,4,2006,2006-10-24
6czUD2XTIXOsZuZ1v8oSRj,Ginger Tea,Anthology,1Mxrx2PfSMBxZ8X5MakZCO,Jarreau Vandal,6f96znq79wvlknKHHHhtTW,5,1,False,0.736,0.402,6,-9.048,0,0.0493,0.469,0.855,0.119,0.796,81.622,83101,4,2018,2018-09-28
05mAIVLkIWc2d1UBYZBCp8,1999,1999,49Teqcxp4dOBayTBtR3j5W,"Charli XCX, Troye Sivan","25uiPmTg16RbhZWAqwLBy5, 3WGpXCj9YhhfX11TToZcXP",1,1,False,0.739,0.742,7,-4.586,1,0.0329,0.0227,1.39e-06,0.229,0.659,124.016,189000,4,2018,2018-10-05
0Oqxt6JixieLHbwMfnJGWO,"Paris, Texas (feat. SYML)",Did you know that there's a tunnel under Ocean Blvd,5HOHne1wzItQlIYmLXLYfZ,"Lana Del Rey, SYML","00FQb4jTyendYWaN8pK0wa, 6AyATGg7mDgBlZ4N5uNog0",10,1,False,0.315,0.102,0,-17.621,0,0.034,0.985,0.0512,0.109,0.185,169.69,206723,3,2023,2023-03-24
1gMT8boiNdGWiYy7HQHyZk,XENA,Quest For Fire,7tWP3OG5dWphctKg4NMACt,"Skrillex, Nai Barghouti","5he5w2lnU9x7JFhnwcekXX, 78XHgIjAv0tqb9hVRUsifg",8,1,False,0.674,0.936,1,-4.912,1,0.0589,0.000596,0.281,0.346,0.328,145.027,251586,4,2023,2023-02-17
4wteGC0HtLeZWjDcczc4Pw,RATATA,Quest For Fire,7tWP3OG5dWphctKg4NMACt,"Skrillex, Missy Elliott, Mr. Oizo","5he5w2lnU9x7JFhnwcekXX, 2wIVse2owClT7go1WT98tk, 0b9ukmbg0MO5eMlorcgOwz",2,1,False,0.889,0.6,9,-10.603,1,0.144,0.0145,0.0,0.08,0.501,123.978,126774,4,2023,2023-02-17
5nW4z3pfZgJAJ2QTCz9AIE,A&W,Did you know that there's a tunnel under Ocean Blvd,5HOHne1wzItQlIYmLXLYfZ,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,4,1,True,0.421,0.247,10,-14.655,1,0.143,0.665,0.375,0.115,0.139,161.468,433916,4,2023,2023-03-24
6T3Ebo7EOh8cUOyE4OhFpp,Good & Plenty - Remix,Good & Plenty (Remix),3myUd2MqJKr3rfUrAf41Us,"Lucky Daye, Masego, Alex Isley, Jack Dine","5Vuvs6Py2JRU7WiFDVsI7J, 3ycxRkcZ67ALN3GQJ57Vig, 7E2ioKxoxI2J94tUkIx6As, 2NWuUOptHRTogSZghYspAE",1,1,False,0.629,0.579,9,-6.543,0,0.107,0.811,0.00366,0.0813,0.363,135.86,204706,4,2021,2021-03-17
6ZwNOYjJ06J77YF1ggXtaT,Love Again,Marigold,5hMEASKNPus4JjSIO5BCqz,"Alex Isley, Jack Dine","7E2ioKxoxI2J94tUkIx6As, 2NWuUOptHRTogSZghYspAE",3,1,False,0.596,0.458,9,-8.556,0,0.0677,0.814,0.000125,0.0812,0.353,99.381,154800,4,2022,2022-03-30
7pq7xuKsiQ9fhDibRBB6m9,A Street I Know,Quest For Fire,7tWP3OG5dWphctKg4NMACt,"Skrillex, Eli Keszler","5he5w2lnU9x7JFhnwcekXX, 2YfqCdQFDp4c0s8F5Lkk4z",7,1,False,0.703,0.877,8,-5.736,1,0.0461,0.0387,0.737,0.21,0.424,145.047,215172,4,2023,2023-02-17
